RA,DEC
3.9661639,2.6149166
109.20123,37.210068
354.20493,34.519848
28.232323,4.759122
144.50613,31.590984
225.55957,49.70301
284.21912,32.06577
338.35632,29.157278
108.5842,72.90672
160.695,58.50468
223.55551,36.18934
3.3920643,40.05136
139.27075,37.672684
244.01286,22.764645
147.27274,31.116179
283.87222,45.944096
153.76521,41.54003
283.55157,36.668663
283.87448,56.03601
283.55856,34.709774
25.279415,3.1690574
108.5925,74.95061
283.5658,33.569775
283.8858,52.2758
223.22266,47.414356
332.20178,16.653292
283.89368,42.94888
338.91623,29.148663
283.58,36.464027
285.24554,79.455635
3.98055,4.93297
14.057481,36.682453
266.93518,71.32795
283.59085,40.687366
284.2824,33.77254
283.59836,32.49191
283.91537,50.465412
208.14493,57.006725
241.20325,49.29454
339.91052,31.847076
3.987448,1.9893403
223.24847,46.888546
264.77042,39.786457
256.50098,71.82439
331.39957,33.08151
25.064428,5.6376047
218.36227,54.635952
223.26447,45.725452
283.94855,54.75701
283.94897,49.198746
283.9491,44.50803
283.63348,31.149433
246.50659,60.471504
3.9981556,2.3996692
108.64697,79.0576
283.63602,37.938465
28.730745,5.08045
282.96317,30.083977
283.9569,39.06193
331.40512,31.143578
14.142026,38.78674
282.77042,40.90683
265.5454,43.45996
283.97464,40.75919
331.41095,34.40449
144.59973,27.621893
264.79425,42.59762
266.9964,71.40969
283.6732,33.134327
284.40594,38.145412
109.97229,58.77286
351.74365,33.420536
283.68872,36.285786
279.05832,34.569912
247.12582,60.681538
4.0268083,4.7580996
271.42352,63.638386
284.0349,46.129448
340.7931,33.188873
123.10212,33.768368
283.71774,34.849335
340.97067,32.643887
254.56802,39.54256
284.0602,42.658783
207.30775,55.123722
25.12488,18.208872
119.843575,38.531704
160.72836,58.701275
242.15112,39.540718
181.29216,27.983038
0.08672598,-2.808211
279.23456,34.436077
279.2405,34.570522
283.73795,35.408646
283.7379,38.902473
283.73978,38.901554
176.51163,32.50585
284.08755,47.640408
264.8405,42.18598
283.7611,34.002033
207.60239,55.393517
283.76266,38.00295
110.00207,44.14166
261.9248,39.593445
154.60765,39.210068
207.6236,55.003593
283.76688,33.461555
341.47733,32.742733
207.64986,55.098057
283.7698,36.967167
109.28647,39.1626
264.8454,41.089397
8.875374,25.958029
207.71233,55.00286
283.78168,35.347847
4.0488477,1.3420135
207.80347,54.9839
276.70044,41.43119
109.30671,39.90167
144.80849,27.643843
207.88123,55.513798
144.81041,39.839203
25.172525,5.207306
283.8105,32.45671
279.52884,34.874672
109.31954,39.42478
39.207954,33.96272
284.18338,42.18712
107.78288,68.40197
129.20793,55.952652
332.24905,18.675072
0.8791881,36.06312
105.3284,60.155346
142.9474,72.26912
0.26154506,35.9556
284.18842,39.574192
279.58292,33.330833
223.36482,46.237785
332.25323,16.243214
283.84518,30.48279
186.43895,55.014263
208.11473,55.41399
279.6236,34.93542
144.84477,29.723822
208.17166,55.393078
208.18784,55.591946
223.36794,45.104935
189.16864,54.986057
4.0808554,3.605373
25.36383,1.3429776
256.8502,75.972336
248.44264,60.462147
129.23735,55.106766
208.32791,55.10625
284.27667,44.976284
284.27945,49.757294
208.37149,55.011417
129.24286,40.73012
223.37129,43.4037
14.333409,28.43095
332.26672,16.30567
352.0182,33.859238
284.82553,31.817165
284.30823,55.26918
202.72035,68.07618
208.49033,55.49026
284.32083,46.72485
129.2495,39.483715
186.53271,45.016434
352.0503,33.45991
14.338591,27.71453
208.38812,49.30469
33.691723,30.922064
225.72891,47.94849
284.33536,44.756535
283.93954,36.235558
284.90604,35.286182
284.33887,54.63859
186.5515,44.851955
223.38051,45.959244
284.34714,49.720684
331.45154,23.147642
284.35147,50.076954
278.99124,44.791134
280.03592,34.195568
144.93651,31.231543
33.89172,35.361454
208.71724,55.01492
208.72644,55.357056
251.86162,47.296547
208.78966,55.53406
284.37576,50.250595
284.39163,54.93723
262.8351,37.011646
284.01666,36.487877
153.74846,41.564075
110.09337,47.205627
7.654482,39.529312
259.30975,32.418625
257.76038,72.147804
164.79944,39.827587
284.4241,42.310963
284.42847,47.009
14.397863,36.54132
208.43312,56.759144
264.96628,41.376778
267.30917,74.234375
337.04214,29.719217
261.99722,31.668736
266.58038,39.1949
284.07538,31.690552
284.44916,53.170765
332.29602,17.214834
284.08163,35.963745
14.502256,36.1251
154.41956,46.337364
262.0039,32.49946
267.35666,72.17314
352.1998,34.310955
7.5520825,33.11046
145.03412,30.843647
284.46954,48.748444
196.34492,56.458225
284.4725,55.830944
105.25801,61.72536
209.20325,55.315414
244.3412,52.479317
145.03595,28.159864
4.3701987,4.2645555
284.47974,44.66612
186.66277,43.231743
208.47049,57.220787
25.42951,4.537435
284.11862,30.573112
154.43982,41.64484
358.70227,29.54291
284.13098,38.536617
209.30856,55.547234
284.13544,33.888123
122.56693,32.705658
271.866,66.89483
284.14133,29.848324
284.52744,50.43789
109.424995,37.577465
123.22175,37.350502
186.6754,42.061424
223.46277,54.537052
358.7449,29.048916
120.095345,42.064846
180.5981,40.221577
341.32562,31.041636
274.4894,47.422955
209.39935,55.155483
274.4911,47.523018
349.19647,33.50437
358.74594,29.332506
284.16675,34.233627
153.01077,33.603218
284.16876,33.208355
284.551,55.458675
254.7843,40.646408
265.00818,41.905037
123.235275,38.155155
257.17325,65.57896
358.76636,30.346998
331.87674,15.52442
241.32788,53.11497
265.01834,57.49227
209.64462,55.83477
284.60248,52.64816
283.99612,74.75804
284.2237,39.954933
284.23135,35.534622
284.23196,31.58938
284.23224,31.589632
284.6249,42.59606
284.2332,32.356735
4.2126865,3.9357243
209.78506,54.992565
209.78572,55.405098
209.79015,55.6952
105.51518,62.269
123.25401,32.468746
267.48877,79.36146
348.02856,34.037186
284.64627,56.18155
284.25397,36.669777
145.18088,27.235226
154.53265,42.06643
25.468494,4.446775
223.48546,46.414463
242.27353,40.49705
257.7807,72.54521
266.85355,39.25465
209.86134,54.951504
218.51707,54.90274
278.42474,38.582294
281.42172,52.39836
284.28653,37.744656
110.66952,40.141243
122.60484,32.499065
209.94685,54.978477
209.97113,55.407158
154.55074,46.242535
186.83344,56.01858
212.91171,51.039963
281.7076,52.435482
284.71097,44.840107
110.20264,43.709724
123.27549,33.48499
331.49506,27.553978
284.32513,31.100025
284.32645,36.756886
14.669476,28.95099
123.282166,37.795086
331.4955,21.785664
266.69965,39.71042
352.3946,34.567898
186.83582,42.643364
208.59961,50.505356
284.7556,60.913246
145.2341,31.175104
284.35242,39.070423
284.75745,44.521137
284.35718,38.361835
154.60236,45.099255
4.4632316,5.174253
212.93774,44.117245
284.7709,40.963814
